Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login
1/6/2009 7:45,Product2,3600,Visa,Sabine,London,England,United Kingdom,1/6/2009 7:00,1/6/2009 9:17
1/2/2009 7:35,Product1,1200,Diners,Hani,Salt Lake City              ,UT,United States,12/30/2008 5:44,1/6/2009 10:52
1/6/2009 12:56,Product1,1200,Visa,Jeremy,Manchester,England,United Kingdom,1/6/2009 10:58,1/6/2009 13:31
1/1/2009 11:05,Product1,1200,Diners,Janis,Ballynora,Cork,Ireland,12/10/2007 12:37,1/7/2009 1:52
1/5/2009 4:10,Product1,1200,Mastercard,Nicola,Roodepoort,Gauteng,South Africa,1/5/2009 2:33,1/7/2009 5:13
1/6/2009 7:18,Product1,1200,Visa,asuman,Chula Vista                 ,CA,United States,1/6/2009 7:07,1/7/2009 7:08
1/2/2009 1:11,Product1,1200,Mastercard,Lena,Kuopio,Ita-Suomen Laani,Finland,12/31/2008 2:48,1/7/2009 10:20
1/1/2009 2:24,Product1,1200,Visa,Lisa,Sugar Land                  ,TX,United States,1/1/2009 1:56,1/7/2009 10:52
1/7/2009 8:08,Product1,1200,Diners,Bryan Kerrene,New York                    ,NY,United States,1/7/2009 7:39,1/7/2009 12:38
1/2/2009 2:57,Product1,1200,Visa,chris,London,England,United Kingdom,1/3/2008 7:23,1/7/2009 13:14
1/1/2009 20:21,Product1,1200,Visa,Maxine,Morton                      ,IL,United States,10/24/2008 6:48,1/7/2009 20:49
1/8/2009 0:42,Product1,1200,Visa,Family,Los Gatos                   ,CA,United States,1/8/2009 0:28,1/8/2009 3:39
1/8/2009 3:56,Product1,1200,Mastercard,Katherine,New York                    ,NY,United States,1/8/2009 3:33,1/8/2009 6:19
1/8/2009 3:16,Product1,1200,Mastercard,Linda,Miami                       ,FL,United States,1/8/2009 3:06,1/8/2009 6:34
1/8/2009 1:59,Product1,1200,Mastercard,SYLVIA,Vesenaz,Geneve,Switzerland,11/28/2007 11:56,1/8/2009 7:20
1/3/2009 9:03,Product1,1200,Diners,Sheila,Brooklyn                    ,NY,United States,1/3/2009 8:47,1/8/2009 10:38
1/5/2009 13:17,Product1,1200,Mastercard,Stephanie,Badhoevedorp,Noord-Holland,Netherlands,1/5/2009 12:45,1/8/2009 11:45
1/6/2009 7:46,Product1,1200,Amex,Kelly,Reston                      ,VA,United States,1/6/2009 7:30,1/8/2009 12:40
1/5/2009 20:00,Product2,3600,Visa,James,Burpengary,Queensland,Australia,12/10/2008 19:53,1/8/2009 17:58
1/8/2009 16:24,Product1,1200,Visa,jennifer,Phoenix                     ,AZ,United States,1/8/2009 15:57,1/8/2009 18:30
1/9/2009 6:39,Product1,1200,Mastercard,Anneli,Houston                     ,TX,United States,1/9/2009 5:09,1/9/2009 7:11
1/6/2009 22:19,Product2,3600,Amex,Ritz,Pittsfield                  ,VT,United States,1/6/2009 12:00,1/9/2009 10:05
1/6/2009 23:00,Product2,3600,Amex,Sylvia,Pittsfield                  ,VT,United States,1/6/2009 12:00,1/9/2009 10:05
1/7/2009 7:44,Product1,1200,Mastercard,Marie,Ball Ground                 ,GA,United States,1/7/2009 5:35,1/9/2009 10:52
1/3/2009 13:24,Product1,1200,Visa,Mehmet Fatih,Helsingor,Frederiksborg,Denmark,1/3/2009 12:47,1/9/2009 11:14
1/7/2009 15:12,Product2,3600,Visa,Anabela,Flossmoor                   ,IL,United States,1/5/2009 19:55,1/9/2009 16:03
1/7/2009 20:15,Product1,1200,Amex,Nicole,Houston                     ,TX,United States,1/7/2009 17:17,1/9/2009 20:02
1/3/2009 10:11,Product2,3600,Visa,Christiane ,Delray Beach                ,FL,United States,1/3/2009 9:27,1/10/2009 9:46
1/9/2009 15:58,Product1,1200,Mastercard,Sari,Newbury,England,United Kingdom,1/9/2009 14:53,1/10/2009 13:16
1/3/2009 13:11,Product1,1200,Mastercard,simone,Kobenhavn,Kobenhavn,Denmark,10/31/2008 0:31,1/10/2009 13:24
1/10/2009 12:57,Product1,1200,Amex,Vanessa,Sandy Springs               ,GA,United States,2/7/2007 20:16,1/10/2009 14:09
1/10/2009 14:43,Product1,1200,Diners,Anupam,Kinsaley,Dublin,Ireland,1/9/2009 11:38,1/10/2009 14:37
1/10/2009 12:05,Product1,1200,Visa,Karina,Fort Lauderdale             ,FL,United States,7/1/2008 12:53,1/10/2009 16:33
1/6/2009 1:20,Product1,1200,Mastercard,Frank,Melbourne,Victoria,Australia,1/2/2009 17:51,1/10/2009 18:27
1/10/2009 14:56,Product1,1200,Visa,Angela,Ankeny                      ,IA,United States,1/8/2009 3:06,1/10/2009 19:41
1/7/2009 10:01,Product1,1200,Visa,Darren,Pittsboro                   ,NC,United States,1/7/2009 9:04,1/10/2009 20:02
1/1/2009 1:26,Product1,1200,Mastercard,Nikki,New Rochelle                ,NY,United States,1/1/2009 0:58,1/10/2009 21:31
1/11/2009 2:04,Product1,1200,Visa,chris,Gold Coast,Queensland,Australia,1/11/2009 0:33,1/11/2009 2:11
1/11/2009 14:17,Product1,1200,Visa,Stephanie,Brussels,Brussels (Bruxelles),Belgium,1/11/2009 13:39,1/11/2009 13:39
1/10/2009 21:38,Product1,1200,Visa,Anushka,Maple Ridge District Municipality,British Columbia,Canada,1/10/2009 21:17,1/11/2009 19:32
1/7/2009 6:18,Product1,1200,Mastercard,June ,Beachwood                   ,OH,United States,2/23/2006 11:56,1/11/2009 19:35
1/4/2009 8:39,Product2,3600,Diners,Baybars,Prince Albert,Saskatchewan,Canada,1/3/2009 17:17,1/11/2009 21:05
1/5/2009 0:31,Product1,1200,Mastercard,Bonnie,Saltsjobaden,Stockholm,Sweden,1/4/2009 23:45,1/12/2009 0:37
1/2/2009 6:07,Product1,1200,Visa,Cindy ,Kemble,England,United Kingdom,12/30/2008 10:21,1/12/2009 2:24
1/12/2009 3:25,Product1,1200,Mastercard,chrissy,W Lebanon                   ,NH,United States,1/12/2009 3:12,1/12/2009 3:22
1/4/2009 13:56,Product1,1200,Mastercard,Tamar,Headley,England,United Kingdom,11/29/2007 9:23,1/12/2009 5:38
1/7/2009 0:12,Product2,3600,Mastercard,Deirdre,Lausanne,Vaud,Switzerland,12/1/2008 6:25,1/12/2009 6:55
1/12/2009 5:18,Product1,1200,Mastercard,Bernadett,Southampton,England,United Kingdom,1/12/2009 4:45,1/12/2009 8:08
1/8/2009 15:16,Product1,1200,Visa,Dottie,Woodsboro                   ,MD,United States,1/8/2009 14:56,1/12/2009 9:29
1/11/2009 11:33,Product1,1200,Visa,Stefan,Stavanger,Rogaland,Norway,1/11/2009 9:02,1/12/2009 10:37
1/7/2009 20:22,Product1,1200,Visa,Gina,Red Deer,Alberta,Canada,11/23/2008 19:30,1/12/2009 12:24
1/2/2009 22:00,Product1,1200,Diners,Lynne,Memphis                     ,TN,United States,1/2/2009 21:04,1/12/2009 13:18
1/5/2009 13:52,Product1,1200,Mastercard,Tammy,Morges,Vaud,Switzerland,1/5/2009 5:55,1/12/2009 14:04
1/8/2009 20:32,Product1,1200,Visa,Kim,Calgary,Alberta,Canada,1/8/2009 20:21,1/12/2009 14:07
1/8/2009 13:34,Product1,1200,Visa,Bruce,Belleville,Ontario,Canada,1/6/2009 14:38,1/12/2009 18:31
1/11/2009 13:08,Product1,1200,Visa,Rosa Maria,Cincinnati                  ,OH,United States,1/11/2009 12:38,1/12/2009 18:44
1/12/2009 19:04,Product1,1200,Visa,Lydia,Comox,British Columbia,Canada,9/20/2008 20:53,1/12/2009 19:01
1/12/2009 13:41,Product1,1200,Visa,Eric,Gasperich,Luxembourg,Luxembourg,1/12/2009 13:16,1/13/2009 1:03
1/11/2009 10:38,Product1,1200,Mastercard,AnaPaula,Helens Bay,Northern Ireland,United Kingdom,9/4/2008 9:26,1/13/2009 2:36
1/13/2009 5:57,Product1,1200,Visa,Robin,Milan,Lombardy,Italy,10/15/2008 5:31,1/13/2009 5:55
1/13/2009 6:13,Product1,1200,Visa,Gitte,Staten Island               ,NY,United States,1/13/2009 5:17,1/13/2009 7:33
1/8/2009 13:14,Product1,1200,Visa,Dr. Claudia,Oslo,Oslo,Norway,1/8/2009 12:47,1/13/2009 10:49
1/2/2009 11:41,Product1,1200,Visa,Crystal,Farmington,Michigan,United States,1/1/2009 12:00,1/13/2009 18:34
1/7/2009 19:50,Product1,1200,Diners,Delphine,Santa Monica                ,CA,United States,1/3/2009 12:04,1/13/2009 20:17
1/1/2009 20:28,Product1,1200,Visa,nathalie,Calgary,Alberta,Canada,1/1/2009 20:11,1/13/2009 21:11
1/3/2009 15:22,Product1,1200,Mastercard,Lindi,Vancouver,British Columbia,Canada,2/20/2008 22:45,1/13/2009 23:02
1/12/2009 3:03,Product2,3600,Mastercard,Valda,Irvine                      ,CA,United States,1/12/2009 2:48,1/14/2009 1:07
1/5/2009 8:58,Product2,3600,Mastercard,Marcia,Telgte,Nordrhein-Westfalen,Germany,9/1/2008 3:39,1/14/2009 2:07
1/10/2009 14:03,Product1,1200,Mastercard,Kevin,Cheltenham,England,United Kingdom,3/13/2006 4:56,1/14/2009 2:22
1/13/2009 11:26,Product1,1200,Visa,Clare,Keller                      ,VA,United States,1/13/2009 11:15,1/14/2009 2:39
1/2/2009 12:18,Product1,1200,Visa,Alice,Nakskov,Storstrom,Denmark,12/5/2007 11:37,1/14/2009 4:05
1/14/2009 4:54,Product1,1200,Mastercard,ZENA,Honolulu                    ,HI,United States,1/14/2009 4:34,1/14/2009 4:43
1/6/2009 17:15,Product1,1200,Visa,Andrea,Bubuieci,Chisinau,Moldova,12/24/2008 17:31,1/14/2009 10:27
1/3/2009 13:56,Product1,1200,Visa,Rennae,Amelia Island               ,FL,United States,1/3/2009 12:30,1/14/2009 13:03
1/4/2009 7:54,Product1,1200,Visa,Gerhard,Alliston,Ontario,Canada,10/21/2005 21:49,1/14/2009 13:06
1/12/2009 7:28,Product1,1200,Amex,Megan,La Alberca,Murcia,Spain,12/10/2008 16:41,1/14/2009 13:44
1/6/2009 15:15,Product1,1200,Mastercard,Danielle,Rathgar,Dublin,Ireland,1/6/2009 14:59,1/14/2009 14:33
1/13/2009 23:56,Product1,1200,Mastercard,Tod,Coral Gables                ,FL,United States,1/13/2009 23:13,1/14/2009 15:17
1/14/2009 19:32,Product1,1200,Visa,Janaina,Miami                       ,FL,United States,12/16/2008 22:19,1/14/2009 19:28
1/6/2009 21:13,Product1,1200,Visa,Kofi,Vancouver,British Columbia,Canada,1/7/2008 21:16,1/14/2009 20:50
1/14/2009 11:19,Product1,1200,Visa,Jennifer,Jumeira,Dubayy,United Arab Emirates,1/14/2009 10:44,1/14/2009 21:26
1/13/2009 19:39,Product1,1200,Visa,Jolene ,Englewood                   ,CO,United States,1/6/2009 22:00,1/14/2009 22:02
1/8/2009 7:26,Product1,1200,Mastercard,anne,Bournemouth,England,United Kingdom,1/25/2008 15:46,1/15/2009 1:36
1/15/2009 2:40,Product1,1200,Mastercard,Alexis,Genoa                       ,IL,United States,1/15/2009 2:04,1/15/2009 2:04
1/12/2009 6:40,Product1,1200,Visa,Dez,Al 'Adliyah,Al Manamah,Bahrain,1/10/2009 12:50,1/15/2009 4:46
1/15/2009 3:43,Product1,1200,Visa,Stephanie,Rouen,Upper Normandy,France,12/26/2008 9:01,1/15/2009 5:39
1/5/2009 15:39,Product1,1200,Visa,Melissa ,Parkland                    ,FL,United States,12/10/2008 9:14,1/15/2009 6:01
1/10/2009 5:21,Product1,1200,Amex,CLARE,San Francisco               ,CA,United States,1/10/2009 0:07,1/15/2009 6:25
1/15/2009 4:12,Product1,1200,Mastercard,catherine,Keller                      ,VA,United States,1/15/2009 4:02,1/15/2009 6:59
1/12/2009 11:48,Product1,1200,Visa,Veronique ,Tsawwassen,British Columbia,Canada,7/24/2008 15:48,1/15/2009 8:56
1/6/2009 10:48,Product1,1200,Mastercard,Bruce and Camille,Clinton                     ,NJ,United States,8/21/2007 21:19,1/15/2009 9:32
1/14/2009 9:10,Product1,1200,Mastercard,Ellen,Owensboro                   ,KY,United States,1/14/2009 8:25,1/15/2009 9:40
1/14/2009 22:44,Product1,1200,Visa,Amy,Lakewood Village            ,TX,United States,1/14/2009 22:21,1/15/2009 9:50
1/6/2009 7:23,Product1,1200,Visa,Anna,Okotoks,Alberta,Canada,7/21/2008 12:03,1/15/2009 10:00
1/1/2009 5:04,Product1,1200,Mastercard,Regina,Glimmen,Groningen,Netherlands,12/16/2002 4:09,1/15/2009 10:50
1/15/2009 11:56,Product1,1200,Visa,Heidi,Calgary,Alberta,Canada,1/14/2009 9:16,1/15/2009 11:39
1/15/2009 11:58,Product1,1200,Visa,Jessica,Kanata,Ontario,Canada,1/14/2009 5:59,1/15/2009 11:49
1/12/2009 9:43,Product1,1200,Diners,Petra,Bergen,Nordrhein-Westfalen,Germany,1/7/2009 8:39,1/15/2009 12:14
1/15/2009 12:33,Product1,1200,Visa,Brian,College Park                ,MD,United States,1/15/2009 12:19,1/15/2009 13:28
1/14/2009 11:35,Product1,1200,Visa,Kenny,Kailua Kona                 ,HI,United States,1/13/2009 17:42,1/15/2009 15:31
1/14/2009 15:40,Product1,1200,Amex,ayse,Redondo Beach               ,CA,United States,1/13/2009 19:37,1/15/2009 15:45
1/3/2009 11:08,Product1,1200,Amex,Maria and Timothy,Fountain Hls                ,AZ,United States,6/5/2006 22:42,1/15/2009 16:37
1/12/2009 1:37,Product1,1200,Visa,IMAN,Brisbane,Queensland,Australia,1/12/2009 1:26,1/15/2009 17:54
1/16/2009 7:21,Product1,2100,Mastercard,Gerald,Mahopac                     ,NY,United States,11/3/2008 14:28,1/16/2009 6:08
1/15/2009 12:54,Product1,1200,Mastercard,Annelies,Ile-Perrot,Quebec,Canada,1/15/2009 12:22,1/16/2009 7:53
1/7/2009 7:19,Product1,1200,Amex,Jocelyn,Bruxelles,Brussels (Bruxelles),Belgium,6/30/2008 9:33,1/16/2009 8:54
1/3/2009 9:56,Product1,1200,Visa,Kara,Chicago                     ,IL,United States,12/31/2008 16:26,1/16/2009 13:43
1/16/2009 17:41,Product1,1200,Visa,Orsi,Rayford                     ,TX,United States,1/16/2009 17:01,1/16/2009 17:56
1/5/2009 5:33,Product1,1200,Visa,Ben,Escondido                   ,CA,United States,1/5/2009 3:19,1/17/2009 0:35
1/2/2009 0:50,Product1,1200,Visa,Sam,Tesvikiye,Istanbul,Turkey,1/2/2009 0:10,1/17/2009 1:57
1/13/2009 1:51,Product1,1200,Visa,Filip and Teresa,Centurion,Gauteng,South Africa,1/12/2009 1:40,1/17/2009 2:23
1/15/2009 10:24,Product1,1200,Visa,Grace ,York,England,United Kingdom,1/13/2009 12:30,1/17/2009 4:42
1/11/2009 8:59,Product1,1200,Visa,Chelsey ,Ashburn                     ,VA,United States,11/9/2008 5:53,1/17/2009 8:54
1/15/2009 15:56,Product1,1200,Amex,Charis,Los Angeles                 ,CA,United States,11/11/2005 11:49,1/17/2009 10:54
1/1/2009 12:19,Product1,1200,Visa,Marlene,Edgewood                    ,WA,United States,1/16/2006 14:45,1/17/2009 11:38
1/6/2009 14:03,Product1,1200,Visa,Fie,New York                    ,NY,United States,5/1/2008 8:26,1/17/2009 11:44
1/9/2009 15:32,Product1,1200,Diners,Nicole ,Basingstoke,England,United Kingdom,1/7/2009 12:31,1/17/2009 12:03
1/17/2009 12:59,Product1,1200,Diners,Linda,Den Haag,Zuid-Holland,Netherlands,10/29/2008 13:09,1/17/2009 13:07
1/12/2009 12:37,Product1,1200,Visa,Janet,Marietta                    ,GA,United States,9/13/2007 14:20,1/17/2009 16:17
1/4/2009 7:43,Product1,1200,Mastercard,Jamie,Houston                     ,TX,United States,1/4/2009 6:51,1/17/2009 17:31
1/17/2009 16:22,Product1,1200,Visa,Chad,West Orange                 ,NJ,United States,1/17/2009 15:22,1/17/2009 18:42
1/1/2009 3:51,Product1,1200,Mastercard,sunny,Amsterdam,Noord-Holland,Netherlands,9/14/2005 22:53,1/17/2009 22:34
1/18/2009 5:27,Product1,1200,Visa,Anna,Downey                      ,CA,United States,1/18/2009 4:28,1/18/2009 4:42
1/18/2009 5:15,Product1,1200,Diners,Roger,Urlingford,Kilkenny,Ireland,1/18/2009 4:44,1/18/2009 4:44
1/1/2009 1:51,Product1,1200,Mastercard,Si,Holte,Kobenhavn,Denmark,12/14/2005 15:46,1/18/2009 4:44
1/18/2009 6:30,Product1,1200,Visa,Sherri,Freienbach,Schwyz,Switzerland,6/22/2008 14:10,1/18/2009 6:21
1/11/2009 10:51,Product1,1200,Mastercard,Katherine,Hofheim am Taunus,Hessen,Germany,12/6/2008 1:34,1/18/2009 7:17
1/4/2009 17:02,Product1,1200,Mastercard,Clare,Lafayette                   ,CA,United States,12/31/2005 0:55,1/18/2009 8:43
1/17/2009 1:23,Product1,1200,Amex,Campbell,Mushrif,,Kuwait,1/16/2009 14:26,1/18/2009 9:08
1/18/2009 2:16,Product1,1200,Visa,Ruth,Nashville                   ,AR,United States,1/16/2009 19:32,1/18/2009 9:13
1/18/2009 11:34,Product2,3600,Visa,Cheryl,New Malden,England,United Kingdom,10/28/2005 14:57,1/18/2009 10:27
1/18/2009 4:38,Product1,1200,Visa,Doug,Bishop Auckland,England,United Kingdom,12/28/2007 13:39,1/18/2009 11:58
1/18/2009 13:26,Product3,7500,Mastercard,Julianne,Navan,Meath,Ireland,1/18/2009 12:20,1/18/2009 12:20
1/18/2009 11:53,Product1,1200,Visa,Shailesh,Joppa,MD,United States,1/18/2009 0:00,1/18/2009 12:23
1/18/2009 12:04,Product1,1200,Visa,Conrad,Joppa,MD,United States,1/18/2009 0:00,1/18/2009 12:23
1/13/2009 19:54,Product1,1200,Diners,Alison,Hampton                     ,NJ,United States,1/3/2006 6:09,1/18/2009 12:51
1/5/2009 21:06,Product1,1200,Mastercard,Tracy,Louisville                  ,KY,United States,1/5/2009 16:27,1/18/2009 13:58
1/14/2009 6:32,Product1,1200,Visa,Kate,Broadlands                  ,VA,United States,4/12/2006 6:14,1/18/2009 14:04
1/4/2009 23:48,Product1,1200,Diners,Sarka,Yellowknife,Northwest Territories,Canada,1/4/2009 22:41,1/18/2009 16:17
1/18/2009 16:32,Product2,3600,Visa,Therese,Los Angeles                 ,CA,United States,1/18/2009 16:23,1/18/2009 16:54
1/18/2009 17:04,Product2,3600,Visa,Abdul-L,New York                    ,NY,United States,1/18/2009 16:58,1/18/2009 16:58
1/18/2009 17:20,Product2,3600,Visa,heidi,Saint Paul                  ,MN,United States,1/18/2009 17:16,1/18/2009 17:16
1/18/2009 17:39,Product2,3600,Visa,jiyoung,New York                    ,NY,United States,1/18/2009 17:34,1/18/2009 17:34
1/11/2009 11:20,Product1,1200,Visa,Klara,Spring Lake Park            ,MN,United States,12/31/2008 19:48,1/18/2009 17:43
1/13/2009 20:59,Product1,1200,Mastercard,Andrew,Winnipeg,Manitoba,Canada,1/13/2009 16:44,1/18/2009 19:17
1/12/2009 16:50,Product1,1200,Visa,Vicki and Bill,Seattle                     ,WA,United States,1/4/2009 21:33,1/19/2009 1:22
1/12/2009 15:12,Product1,1200,Mastercard,David,Deptford                    ,NJ,United States,1/12/2009 14:07,1/19/2009 3:47
1/6/2009 12:27,Product1,1200,Mastercard,Antonella,Amsterdam,Noord-Holland,Netherlands,1/6/2009 12:04,1/19/2009 4:59
1/9/2009 18:52,Product1,1200,Visa,David,Alpharetta                  ,GA,United States,11/25/2008 7:56,1/19/2009 6:12
1/18/2009 23:17,Product1,1200,Visa,Greg,Washington                  ,DC,United States,1/18/2009 15:18,1/19/2009 6:13
1/7/2009 8:21,Product1,1200,Visa,Jannik ,Holmenkollen,Oslo,Norway,1/3/2009 11:06,1/19/2009 6:54
1/3/2009 9:54,Product1,1200,Visa,Sylvia,Zekeriyakoy,Istanbul,Turkey,12/29/2008 10:38,1/19/2009 7:37
1/5/2009 19:37,Product1,1200,Amex,Bernadette,Washington                  ,DC,United States,11/7/2007 9:49,1/19/2009 7:42
1/4/2009 12:49,Product1,1200,Diners,Denise,Montreal,Quebec,Canada,5/25/2007 10:58,1/19/2009 7:58
1/8/2009 11:55,Product2,3600,Visa,Caren,Braunschweig,Lower Saxony,Germany,1/3/2009 12:39,1/19/2009 8:31
1/14/2009 18:21,Product1,1200,Visa,luciana,Athens                      ,GA,United States,9/25/2005 6:25,1/19/2009 11:21
1/11/2009 19:01,Product1,1200,Diners,Maja,Hoschton                    ,GA,United States,1/11/2009 18:17,1/19/2009 12:47
1/14/2009 5:20,Product2,3600,Visa,Kristen,Binningen,Basel-Country,Switzerland,1/12/2009 13:31,1/19/2009 13:07
1/15/2009 8:07,Product1,1200,Visa,Kirstie,Royal Oak                   ,MI,United States,12/13/2008 19:35,1/19/2009 14:59
1/15/2009 8:10,Product1,1200,Visa,Scott ,Royal Oak                   ,MI,United States,12/13/2008 19:35,1/19/2009 14:59
1/2/2009 17:45,Product1,1200,Mastercard,Jammie,Belmont                     ,MA,United States,12/9/2005 17:19,1/19/2009 15:36
1/19/2009 16:10,Product1,1200,Mastercard,Frank,Old Greenwich               ,CT,United States,1/19/2009 15:31,1/19/2009 16:00
1/19/2009 16:55,Product1,1200,Mastercard,scott,Coconut Grove               ,FL,United States,1/19/2009 16:18,1/19/2009 16:18
1/10/2009 17:41,Product1,1200,Visa,Jiri,Vienna                      ,VA,United States,1/10/2009 16:32,1/19/2009 17:52
1/18/2009 13:49,Product2,3600,Visa,Bev,San Ramon                   ,CA,United States,1/11/2009 12:00,1/19/2009 18:07
1/15/2009 5:47,Product1,1200,Visa,Dave and Amy,Norfolk                     ,VA,United States,1/15/2009 0:21,1/19/2009 22:48
1/19/2009 23:06,Product1,1200,Mastercard,Rebecca,Norfolk                     ,VA,United States,1/19/2009 22:53,1/19/2009 22:53
1/19/2009 11:12,Product1,1200,Visa,Melissa,Aberdeen,Scotland,United Kingdom,8/27/2008 8:22,1/20/2009 0:35
1/4/2009 1:38,Product1,1200,Amex,jeremy,Charlestown,New South Wales,Australia,7/15/2008 21:04,1/20/2009 1:08
1/20/2009 3:11,Product1,1200,Visa,Randy,Wigan,England,United Kingdom,1/20/2009 3:02,1/20/2009 3:06
1/3/2009 10:52,Product1,1200,Visa,Djeiny,Rockville                   ,MD,United States,4/18/2005 9:27,1/20/2009 6:47
1/20/2009 5:24,Product3 ,7500,Mastercard,Amanda,Shreveport                  ,LA,United States,1/20/2009 5:13,1/20/2009 7:15
1/20/2009 6:03,Product1,1200,Mastercard,Andrea ,Shreveport                  ,LA,United States,1/20/2009 5:13,1/20/2009 7:15
1/10/2009 11:37,Product1,1200,Amex,Joanna,Little Silver               ,NJ,United States,12/28/2008 20:10,1/20/2009 7:42
1/20/2009 5:50,Product1,1200,Visa,Jessica,Abbey Town,England,United Kingdom,1/20/2009 4:23,1/20/2009 7:46
1/19/2009 16:32,Product1,1200,Amex,alison,Mid City West               ,PA,United States,1/19/2009 10:24,1/20/2009 10:09
1/18/2009 10:42,Product1,1200,Visa,malin,Atlanta,Georgia,United States,1/18/2009 0:00,1/20/2009 11:09
1/7/2009 6:11,Product2,3600,Visa,Tiffany ,Paris,Ile-de-France,France,1/7/2009 5:30,1/20/2009 11:22
1/3/2009 8:29,Product1,1200,Visa,Genevieve,Milton Keynes,England,United Kingdom,10/10/2008 1:26,1/20/2009 11:31
1/1/2009 2:09,Product1,1200,Mastercard,Saraya,Dresden,Saxony,Germany,3/12/2006 11:31,1/20/2009 11:56
1/20/2009 12:34,Product1,1200,Mastercard,Anastasia,NYC                         ,NY,United States,1/20/2009 12:17,1/20/2009 12:55
1/20/2009 3:51,Product1,1200,Visa,Elizabeth,The Grange,Queensland,Australia,11/12/2008 3:34,1/20/2009 13:11
1/15/2009 11:26,Product1,1200,Visa,Nicole,Brookline                   ,MA,United States,7/11/2007 11:18,1/20/2009 14:01
1/5/2009 16:55,Product1,1200,Visa,Jeffrey,Montreal-Nord,Quebec,Canada,9/29/2003 17:08,1/20/2009 14:38
1/12/2009 19:47,Product1,1200,Mastercard,Blanca Gabriela ,Irving                      ,TX,United States,12/10/2008 21:49,1/20/2009 18:02
1/4/2009 19:20,Product1,1200,Amex,Elisa,Ottawa Hills                ,OH,United States,1/4/2009 18:38,1/20/2009 18:03
1/10/2009 8:33,Product2,3600,Mastercard,Patricia ,Portola Valley              ,CA,United States,2/4/2007 10:09,1/20/2009 22:06
1/9/2009 14:51,Product1,1200,Visa,Bob,Sydney,New South Wales,Australia,1/7/2009 18:15,1/21/2009 0:29
1/16/2009 2:41,Product3,7500,Visa,Kristyn,Kearns                      ,UT,United States,1/15/2009 18:01,1/21/2009 1:02
1/16/2009 18:36,Product1,1200,Visa,Elizabeth,Wollongong,New South Wales,Australia,11/1/2008 16:32,1/21/2009 1:49
1/20/2009 8:10,Product1,1200,Amex,Cathy,Brooklyn                    ,NY,United States,8/5/2007 18:52,1/21/2009 5:16
1/6/2009 12:45,Product2,3600,Amex,Kaylee,Penngrove                   ,CA,United States,1/5/2009 14:06,1/21/2009 11:18
1/10/2009 8:13,Product1,1200,Visa,suzanne,Lemont                      ,IL,United States,1/9/2009 19:15,1/21/2009 11:35
1/7/2009 14:15,Product1,1200,Mastercard,Cassandra,San Carlos                  ,CA,United States,1/5/2009 15:42,1/21/2009 12:00
1/8/2009 15:27,Product1,1200,Mastercard,Jennifer,Chicago                     ,IL,United States,1/4/2009 22:22,1/21/2009 13:28
